Tour Date,Format Date,Codes,Tour,City,Country,Account Group,Account,Amount
02/11/23,Feb-23,Boat App,Best of Savannah Tour,Savannah,USA,Revenue,Tour Income,143.2
02/11/23,Feb-23,Boat App,Best of Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,135.2
02/10/23,Feb-23,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
02/10/23,Feb-23,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
02/09/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298
01/20/23,Jan-23,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,63.2
02/16/23,Feb-23,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,103.2
02/16/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,897
02/16/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,436.8
02/16/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,596
02/16/23,Feb-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,318.4
02/15/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,357.6
02/16/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,716
02/08/23,Feb-23,Boat App,Best of Miami Tour + Everglades,Miami,USA,Revenue,Tour Income,175.2
01/05/23,Jan-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,71.2
02/15/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
02/15/23,Feb-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
02/11/23,Feb-23,Boat App,Best of Savannah Tour,Savannah,USA,Revenue,Tour Income,143.2
02/15/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/14/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/13/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/14/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/14/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/13/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,183
02/13/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,834.4
02/14/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/12/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,238.4
02/12/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,134.4
02/12/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/13/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298
02/13/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/13/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,183
02/13/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
01/31/23,Jan-23,Boat App,Festive Night on Niagara Holiday Lights Tour with Helicopter Ride,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
01/13/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,596
02/11/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,71.2
02/12/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,1556
02/10/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298
02/12/23,Feb-23,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,103.2
02/11/23,Feb-23,Boat App,San Antonio Night Tour from Austin + River Walk Cruise,Austin,USA,Revenue,Tour Income,174.6
02/09/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,318.4
02/11/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
02/11/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/12/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,67.2
02/11/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/12/23,Feb-23,Boat App,San Antonio Best of Riverwalk Food Walking Tour,San Antonio,USA,Revenue,Tour Income,258
02/11/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,366.4
02/11/23,Feb-23,Boat App,Boston City Tour,Boston,USA,Revenue,Tour Income,94.4
02/11/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,179
02/11/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,318.4
02/12/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,357.6
02/11/23,Feb-23,Boat App,Best of Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,135.2
02/12/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,476.8
02/12/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/09/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,119.2
01/27/23,Jan-23,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
01/25/23,Jan-23,Boat App,Best of Miami Tour + Everglades,Miami,USA,Revenue,Tour Income,438
01/02/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,358
02/11/23,Feb-23,Boat App,Austin City Tour with State Capitol,Austin,USA,Revenue,Tour Income,55.2
02/10/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/10/23,Feb-23,Boat App,Winter Festival of Lights Walking Tour,"Niagara Falls, Canada",Canada,Revenue,Tour Income,49
02/11/23,Feb-23,Boat App,Austin City Tour with State Capitol,Austin,USA,Revenue,Tour Income,110.4
02/09/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,134.4
02/11/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
02/11/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,778
02/11/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298
02/11/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
02/11/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,229
01/16/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,358
01/13/23,Jan-23,Boat App,Boston City Tour,Boston,USA,Revenue,Tour Income,47.2
01/17/23,Jan-23,Boat App,"Airport Transfer from Niagara Falls, Canada to Buffalo Niagara International Airport (BUF) ","Niagara Falls, Canada",Canada,Revenue,Tour Income,0
02/10/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,478.4
02/10/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
02/10/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/10/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/10/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,299
02/10/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,366.4
02/10/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,119.2
02/10/23,Feb-23,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
02/09/23,Feb-23,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,126.4
02/10/23,Feb-23,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,63.2
02/09/23,Feb-23,Boat App,Best of Miami Tour,Miami,USA,Revenue,Tour Income,206.4
02/10/23,Feb-23,Boat App,"Airport Transfer from Buffalo Niagara International Airport (BUF) to Niagara Falls, Canada ","Niagara Falls, Canada",Canada,Revenue,Tour Income,0
02/09/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/10/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,389
02/10/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/10/23,Feb-23,Boat App,Austin City Tour with State Capitol,Austin,USA,Revenue,Tour Income,55.2
02/10/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,398
02/04/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,119.2
02/09/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,183
02/09/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/09/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,119.2
02/09/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,1098
02/08/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,478.4
02/08/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,572
02/09/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
02/09/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,67.2
01/26/23,Jan-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,183.2
01/15/23,Jan-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,71.2
02/06/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,596
02/08/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,357.6
02/08/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,717.6
02/08/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,119.2
02/06/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/08/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,119.2
02/06/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,71.2
02/06/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/06/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/06/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/07/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,318.4
02/06/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,143.2
01/05/23,Jan-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,238.4
02/06/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298
02/06/23,Feb-23,Boat App,San Antonio Night Tour from Austin + River Walk Cruise,Austin,USA,Revenue,Tour Income,349.2
02/06/23,Feb-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
02/05/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,284.8
02/06/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
02/06/23,Feb-23,Boat App,Best of Miami Tour + Everglades,Miami,USA,Revenue,Tour Income,350.4
02/05/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
02/06/23,Feb-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,549.6
01/09/23,Jan-23,Boat App,Winter Festival of Lights Walking Tour,"Niagara Falls, Canada",Canada,Revenue,Tour Income,78.4
02/05/23,Feb-23,Boat App,Austin Hillside Oasis Lakeview Tour,Austin,USA,Revenue,Tour Income,111.2
02/05/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,299
02/05/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,183
01/21/23,Jan-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,199
02/04/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/04/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/04/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,429.6
02/04/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,183
02/04/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,239.2
02/04/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/04/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/04/23,Feb-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,183.2
02/03/23,Feb-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
02/04/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,732.8
01/27/23,Jan-23,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
02/03/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,143.2
02/03/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,318.4
02/03/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,476.8
02/03/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,366.4
02/03/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/03/23,Feb-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
02/03/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,732
02/03/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,397
02/02/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/29/23,Jan-23,Boat App,Best of Miami with Cruise Port Pick-up and Airport Drop-off,Miami,USA,Revenue,Tour Income,318
01/21/23,Jan-23,Boat App,Austin Taco Food Walking Tour,Austin,USA,Revenue,Tour Income,55.2
02/01/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,716
02/01/23,Feb-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,478.4
02/02/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,413.6
01/19/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,254.4
01/07/23,Jan-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
02/01/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,318.4
02/01/23,Feb-23,Boat App,Best of Miami Tour + Everglades,Miami,USA,Revenue,Tour Income,350.4
02/01/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
01/26/23,Jan-23,Boat App,Festive Night on Niagara Holiday Lights Tour with Helicopter Ride,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/01/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,199
01/31/23,Jan-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,1244.8
02/01/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
01/20/23,Jan-23,Boat App,"Niagara Falls, Canada to Toronto Pearson International Airport (YYZ)","Niagara Falls, Canada",Canada,Revenue,Tour Income,0
01/08/23,Jan-23,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,103.2
01/31/23,Jan-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,159.2
01/30/23,Jan-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
01/30/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/28/23,Jan-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,458
01/29/23,Jan-23,Boat App,San Antonio Night Tour from Austin + River Walk Cruise,Austin,USA,Revenue,Tour Income,174.6
01/30/23,Jan-23,Boat App,Best of Miami Tour + Everglades,Miami,USA,Revenue,Tour Income,485.6
01/27/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/25/23,Jan-23,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
01/11/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/29/23,Jan-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
01/28/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,537
01/28/23,Jan-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,398
01/28/23,Jan-23,Boat App,Scenic Austin Night Tour,Austin,USA,Revenue,Tour Income,142.4
01/28/23,Jan-23,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
01/28/23,Jan-23,Boat App,Best of Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,135.2
01/27/23,Jan-23,Boat App,Best of San Antonio Tour from Austin,Austin,USA,Revenue,Tour Income,366.4
01/27/23,Jan-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,159.2
01/28/23,Jan-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,239.2
01/27/23,Jan-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
01/27/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/28/23,Jan-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,311.2
01/25/23,Jan-23,Boat App,"Airport Transfer from Niagara Falls, Canada to Buffalo Niagara International Airport (BUF) ","Niagara Falls, Canada",Canada,Revenue,Tour Income,0
01/27/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/27/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
01/27/23,Jan-23,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,206.4
01/27/23,Jan-23,Boat App,San Antonio Night Tour from Austin + River Walk Cruise,Austin,USA,Revenue,Tour Income,174.6
01/27/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,119.2
01/01/23,Jan-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,357.6
01/04/23,Jan-23,Boat App,San Antonio Night Tour from Austin + River Walk Cruise,Austin,USA,Revenue,Tour Income,436
01/26/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/26/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/26/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
01/26/23,Jan-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,357.6
01/26/23,Jan-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,780.8
01/25/23,Jan-23,Boat App,Best of Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,270.4
01/07/23,Jan-23,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,239.2
